DATA_PROVENANCE,student,discipline,gpa,ai_task_grade,PromptEngineering,PromptEngineering_retest,ProblemDecomposition,ProblemDecomposition_retest,OutputValidation,OutputValidation_retest,EthicalIntegration,EthicalIntegration_retest,CollaborativeSensemaking,CollaborativeSensemaking_retest,PromptEngineering_i1,PromptEngineering_i2,PromptEngineering_i3,PromptEngineering_i4,PromptEngineering_i5,ProblemDecomposition_i1,ProblemDecomposition_i2,ProblemDecomposition_i3,ProblemDecomposition_i4,ProblemDecomposition_i5,OutputValidation_i1,OutputValidation_i2,OutputValidation_i3,OutputValidation_i4,OutputValidation_i5,EthicalIntegration_i1,EthicalIntegration_i2,EthicalIntegration_i3,EthicalIntegration_i4,EthicalIntegration_i5,CollaborativeSensemaking_i1,CollaborativeSensemaking_i2,CollaborativeSensemaking_i3,CollaborativeSensemaking_i4,CollaborativeSensemaking_i5,CDM_total
SIMULATED,21,Humanities,3.568,87.32,3.0,2.826,3.0,3.102,2.0,2.373,4.0,4.001,4.333,4.687,3,2,4,1,5,2,3,3,3,3,2,2,2,2,4,3,4,5,5,4,5,4,4,5,5,3.2665999999999995
SIMULATED,22,Humanities,2.492,70.82,2.0,1.781,2.333,2.695,2.667,2.215,2.0,2.417,3.0,3.391,2,1,2,1,2,2,1,3,1,3,3,2,2,2,3,1,1,2,2,2,3,3,2,3,2,2.4
SIMULATED,23,Humanities,3.161,90.92,3.0,3.571,4.0,3.89,3.0,3.751,3.333,3.411,4.333,3.944,2,3,5,3,2,4,4,3,4,4,2,3,3,3,4,3,2,4,3,3,4,4,5,3,5,3.5332
SIMULATED,24,Humanities,3.694,79.74,3.0,2.584,2.0,3.258,4.0,3.328,4.0,3.2,5.0,3.946,2,2,4,2,3,1,2,3,3,2,2,5,4,4,5,4,3,3,4,5,5,5,5,4,5,3.6
SIMULATED,25,Humanities,3.098,78.4,1.0,1.119,1.0,1.543,3.0,2.931,2.333,3.131,3.667,3.353,1,2,1,1,2,1,1,1,1,1,3,3,2,3,4,1,3,2,3,3,3,3,4,4,4,2.2
SIMULATED,26,Humanities,3.489,94.45,4.0,3.812,3.0,3.523,3.0,3.284,2.0,3.273,4.0,4.744,4,4,5,3,5,4,4,2,3,3,2,3,3,4,3,3,1,2,2,3,4,3,4,4,5,3.2
SIMULATED,27,Humanities,2.603,84.46,2.667,1.463,4.333,2.957,4.0,3.615,3.0,3.031,4.0,2.952,3,4,2,2,3,5,5,4,3,5,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3.6
SIMULATED,28,Humanities,3.618,82.94,3.0,2.208,3.667,3.551,3.667,3.13,4.333,4.188,4.667,4.348,3,3,4,1,3,2,3,4,4,3,3,2,4,5,4,4,5,4,5,4,4,5,4,4,5,3.8668
SIMULATED,29,Humanities,3.391,86.31,2.0,1.021,2.333,1.915,3.667,3.636,4.0,3.159,3.333,3.512,1,4,2,2,1,1,4,2,2,3,2,4,4,2,4,3,4,3,5,4,3,3,4,2,4,3.0666
SIMULATED,30,Humanities,2.903,74.53,2.0,1.729,2.667,2.931,2.0,1.522,3.0,2.245,3.0,3.485,1,2,1,2,2,2,1,2,3,2,2,2,2,1,2,3,3,2,2,3,4,2,4,4,2,2.5334
